name,address,Phone,price_range_from,price_range_to,cuisines,rating,review_count,excellent_count,very_good_count,average_count,poor_count,terrible_count
145 Kala Ghoda,"Mahatma Gandhi Road Temple Bar Building, 145, Fort, Mumbai 400001 India",+91 22 4039 6632,,,"Mexican, Chinese, Asian, Healthy, Azerbaijani, Indian",4.5,48,27,19,2,0,0
1701 Gastropub,"V.M. Road Nalanda Shopping Center Terrace, Mumbai 400056 India",+91 98210 98210,,,"Chinese, Indian, Pizza, Street Food, Asian",4,10,3,6,1,0,0
180 Degrees,"Ak Plaza Grand Sarovar Premiere, Mumbai 400062 India",+91 22 4215 8031,,,,4.5,286,221,49,7,4,3
18th Century Rooftop Restro And Bar,"Samartha Vaibhav, 201/202 Lokhandwala Rd, Odd, New Link Rd, Mumbai 400053 India",,,,Asian,4.5,11,8,3,0,0,0
1BHK Brew House Kitchen,"Ground Floor, BST Colony Road, Oshiwara Linking Road, Andheri West, Mumbai 400102 India",+91 77100 27104,500,1000,Indian,4.5,53,36,12,1,1,3
212 All Day Cafe & Bar,"Lbs Road F-97, First Floor, Phoenix Market City Mall, Kurla West, Mumbai 400070 India",+91 22 6180 1641,400,1000,"European, Italian, American",4,56,15,30,5,3,2
212 All Good,"Senapati Bapat Marg Ground Floor, Grand Galleria, High Street Phoenix, Lower Parel, Mumbai 400013 India",+91 86550 12212,,,Cafe,3.5,45,12,19,6,2,5
24/7 Restaurant,"Sahar Airport Road, Andheri East The Lalit Mumbai, Mumbai 400059 India",+91 22 3015 0862,,,"Indian, Asian",4.5,16,8,6,1,0,0
266 - The Wine Room & Bar,"266 Linking Road Bandra W, Mumbai 400050 India",+91 73812 15534,1000,3000,"Bar, European, Pub, Fusion, Wine Bar",4.5,19,12,6,1,0,0
3 Wise Monkeys,"3'rd Road, Off Sv Road The Unicontental, Santacruz West, Khar West, Mumbai 400054 India",+91 98205 98325,,,"Bar, Indian, Pub",4,51,15,29,5,1,1
38 Bangkok Street,"Cawasji Patel Street 3-6 Windsor Chambers, Fort Central, Mumbai 400001 India",+91 22 3015 1248,,,"Thai, Asian, Indian",3.5,33,8,13,5,5,1
38 Degree East,"Lake Road Panchkutir, Next to Trinity Towers and VV Motors, Mumbai 400076 India",+91 22 6565 0153,,,"Indian, Asian",4.5,44,23,15,4,1,1
5 Spice,"Opposite Mayur Tower Opposite Mayur Tower Opposite Mayur Tower, Borivali West, Mumbai 400092 India",+91 22 2833 8312,,,"Chinese, Thai",4,8,1,5,2,0,0
5 Spice,"Near Inorbit Mall Off Link Road Near Inorbit Mall Off Link Road Opposite Green Hotel, Mumbai 400064 India",+91 22 2876 0172,,,"Chinese, Asian, Thai",4,30,6,17,4,2,1
5 Spice,"91, Ground Floor, Shalimar Building, G Road, Near Everest Building, Marine Lines, Mumbai 400020 India",+91 22 2876 0172,,,"Chinese, Asian",4,28,9,10,6,1,2
5 Spice,"3/4 Dheeraj Pali Arcade Dr B R Ambedkar Road Near IDBI Bank ATM, Bandra West, Mumbai 400050 India","22666435, 22666434",,,"Chinese, Asian, Indian",4,279,77,139,45,11,6
5 Spice,"1st Floor, Swati Apartment, Anand Nagar, Link Road, Oshiwara, Andheri West, Opposite Mega Mall, Mumbai 400102 India",+91 22 2281 7157,,,"Chinese, Asian, Thai",3.5,65,17,26,13,2,6
5 Spice,"296/A Sangli Bank Building Perin Nariman Street Behind Old Reserve Bank Of India, Fort, Mumbai 400001 India",+91 22 2856 2186,,,"Chinese, Asian",3.5,101,27,38,19,4,10
5 Spice,"Ground Floor King Circle A1 H Adenwala Road, Mumbai 400019 India",+91 22 3015 1600,,,"Chinese, Asian",3.5,48,15,17,7,2,6
5 spice,"B. R. Ambedkar Road, Mumbai 400027 India",+91 22 2633 5550,,,"Chinese, Asian, Thai",4,74,23,28,17,4,2
5 spice,"Ballard Estate, Mumbai 400001 India",+91 22 2266 6435,,,"Chinese, Asian, Indian, Thai",4,191,54,80,25,14,11
5 Spice,"88, Shivai Industrial Estate, Andheri Kurla Road, Sakinaka, Opposite Woodland Showroom, Andheri East, Mumbai 400072 India",+91 22 2401 9452,,,"Chinese, Asian",4,25,9,10,3,0,3
6 Degrees,"Andheri Kurla Road The Leela Hotel, Lobby Level, Sahar, Andheri East, Mumbai 400059 India",+91 22 6691 1324,,,"Bar, Pub, European, Spanish",4,14,5,5,3,0,0
63bylane,"Shop no 63, Evershine Millenium Paradise, Bulding no 56 Thakur Village, Kandivali East, Mumbai 400101 India",,,,Italian,4.5,13,8,4,0,0,1
6th Street Yogurt,"Inorbit Mall, 2nd Floor, Link Road, Mindspace, Malad West, Mumbai 400064 India",+91 97684 75260,,,,4.5,7,3,4,0,0,0
7 Scripts,"3 Surve Compound Satya Nagar Road Gala No. 3 Near Panchsheel Residency, Kandivali West, Mumbai 400067 India",+91 70390 15111,199,1000,"Italian, Indian, Spanish, Greek, Central-Italian",5,4,3,1,0,0,0
7 Scripts,"Satya Nagar Road, Kandivali West Gala No.3, Surve Compound, Mumbai 400067 India",+91 70390 14111,,,"Italian, Mexican, Indian, Asian, Greek",4.5,7,5,1,0,0,1
70 Beans,"8 /9, Vasundhara Height, Plot 5, Sector 11, Sanpada, Mumbai 400705 India",+91 22 2775 2110,,,Cafe,4.5,43,19,18,4,2,0
72,"Sakinaka Junction, Andheri Kurla Road, Andheri East Holiday Inn, Mumbai 400072 India",+91 22 4085 1848,,,"Indian, Bar, Pub",4.5,28,14,12,1,0,1
90ft Above,"L.T. Road The Rooftop, 7th Floor, Vini Elegance, Mumbai 400092 India",+91 22 6500 9090,,,"Indian, Asian",4,115,25,64,15,8,3
90ML Bar & Kitchen,"Shop No 35, New Shopping Center, Near Cinemax Theatre, Bandra East, Mumbai 400051 India",+91 99676 58000,,,"Italian, Mexican, Chinese, Indian, Asian",4,14,6,5,2,0,1
99 East,"45 Tarun Bharat CHS, Dr Karnjiya Road, Chakala, Andheri East Chakala, Opposite Cigarette Factory, Andheri East, Mumbai 400059 India",+91 22 3015 0874,,,"Chinese, Seafood, Asian",4,13,3,6,4,0,0
99 Pancakes,"140, Ground Floor, Commerce house, Nagindas Master Road, Kala Ghoda, Near Ayubs, Fort, Mumbai 400001 India",+91 96993 49349,150,500,,4.5,48,20,26,2,0,0
99 Pancakes,"Hanuman Road Sarva Mangal Apartment, Shop no 2, opp Datta Mandir,, Mumbai 400057 India",+91 81040 61341,,,Cafe,4.5,12,5,5,2,0,0
A Bar,"& 3b Powai Renaissance Mumbai Convention Centre Hotel, Mumbai 400087 India",+91 22 6692 7570,2000,5000,International,4.5,10,8,1,1,0,0
A Ramanayak Udipi Shri Krishna Boarding,"1st Floor Lakhamsi Nappu Road Near Matunga Central Railway Station, Matunga, Mumbai 400019 India",+91 22 2414 2422,,,Indian,4.5,134,71,49,9,1,4
A Taste of India,"Centrium Mall, Lokhandwala Complex, Kandivali East Lokhandwala Township,Kandivali, Mumbai 400101 India",+91 22 3015 1321,148,10015,Indian,4,10,2,7,1,0,0
Aarey Garden Restaurant,"Aarey Road, Near Central Dairy, Mumbai 400065 India",+91 22 2927 2435,,,Indian,3.5,42,3,28,8,2,0
Aashirwad Restaurant,"Opp. I.C Church, I C Colony, Borivali West, Mumbai 400103 India",+91 96195 25103,,,"Indian, Asian",4,15,5,6,3,0,1
Aaswad,"61 Gokhale Road Mejwani, Sadanand Opp Amar Hind Mandal, Dadar, Mumbai 400028 India",+91 22 2445 1876,,,Indian,4.5,3,2,1,0,0,0
Aaswad,"Dadar West, Sena Bhavan Shivaji Park, Gadkari Chauk, Dadar West, Mumbai 400028 India",+91 22 2445 1871,,,"Indian, Fast food",4,177,79,74,15,7,2
Aaswad Upahar & Mithai Gruh,"Lady Jamshedji Road, Opposite Shivsena Bhavan Wavda Building, Gadkari Chowk Dadar, Mumbai 400028 India",+91 22 2445 1871,,,Indian,4.5,47,24,18,3,1,1
Aavakay - The Andhra Kitchen,"Shop No.1, Gayatri Satsang Building, Mumbai 400101 India",+91 89575 75708,,,Indian,4.5,19,7,11,1,0,0
Aayubs,"Aapejay House, Mumbai 400001 India",+91 98211 99147,,,"Fast food, Barbecue",4,12,5,4,3,0,0
AB Celestial,"Bandra Worli Sealink, Mumbai 400050 India",+91 88791 62722,,,Indian,3.5,40,13,11,6,5,4
AB3 - Akkad Bakkad Bombay Boo,"5 K K Meena Sudhar Marg Kamala Nagar, Bhagat Colony, Kandivali West, Mumbai 400067 India",+91 22 6521 2165,,,Vegetarian Friendly,4,17,11,3,1,0,2
Abhinandan,"LBS Marg, Next to Damodar Park, Ghatkopar West Opp Sheyas Cinema, Mumbai 400086 India",+91 22 2500 6693,,,"Indian, Asian",4,43,10,23,7,0,2
Above & Beyond,"Mahakali Caves Road Opp. Mc Donalds, Mumbai 400059 India",+91 98198 53449,,,"Italian, Mexican, Indian, Cafe, Fast food",4,14,5,5,4,0,0
"Absolute Barbecues, Powai","ATL Corporate Park, Saki Vihar Road, Powai Opp. L&T gate no.7, Mumbai 400087 India",+91 73373 36734,,,"Indian, Barbecue, Asian",5,28,23,4,1,0,0
Abstrakt Bistro & Lounge,"Sion Trombay Rd Next to Surana Sethia Hospital, Opp Bezzolla Complex, Suman Nagar, Mumbai 400071 India",+91 98338 03111,,,"Bar, Asian, Pub",4,20,3,12,4,1,0
Acharekar�s Malvan Katta,"3, Janaki Niwas, DL Vaidya Road Near Swami Samarth Math, Dadar West, Mumbai 400028 India",+91 22 2421 6923,,,,4,9,2,3,4,0,0
Achija,"13 Vasant Nivas Tilak Road Naka Opposite HDFC Bank, Ghatkopar East, Mumbai 400077 India",+91 22 2102 7359,,,"Indian, Fast food",4.5,63,30,26,5,2,0
Achija,"Ganesh Gawde Road, Opposite Shraddha & Hiramonghi Hospital Ganesh Gavade Road, Mulund West, Mumbai 400080 India",+91 22 3190 2111,,,"Indian, Fast food, Pizza, Asian",4,41,13,17,8,2,1
Adar Udipi Refreshment,"Sant Sakha Building, Nehru Road, Vile Parle East, Mumbai 400057 India",+91 22 2612 1680,,,"Indian, Fast food, Asian",4,26,4,14,6,0,1
Adarsh,"Ranade Road Dadar West, Mumbai 400028 India",+91 22 2430 3087,,,Indian,4.5,10,6,4,0,0,0
Adarsh Restaurant & Bar,"Ng Acharya Marg, Mumbai 400071 India",+91 22 2521 4441,,,"Seafood, Chinese, Indian, Bar, Asian",4.5,12,7,4,1,0,0
Adhar Udupi Refreshment,"5 Nehru Road Sant Sakha Building, Vile Parle East, Mumbai 400057 India",,,,Asian,4,13,4,5,3,0,0
Aditi,"Opposite Kem Hospital Opposite Kem Hospital Parel, Opposite Kem Hospital, Mumbai 400012 India",+91 22 2418 3131,,,"Indian, Chinese, Pizza",4,29,5,21,3,0,0
Aditi Fast Food,"Shri Vile Parle Patidar Wadi, Sardar Patel Bagh, Parleshwar Road, Vile Parle East, Mumbai 400057 India",+91 22 2619 4568,,,"Indian, Fast food",4.5,23,10,10,1,1,0
Aditi Fast Food,"105 S V Road Hotel Aditi International, Mumbai 400064 India",+91 22 2882 3344,,,"Indian, Fast food",4,20,5,9,5,0,1
Aer,"114 Dr E Moses Road Four Seasons Hotel, Mumbai 400018 India",+91 22 2481 8000,,,,4.5,566,282,188,51,8,17
Afra,"4 Uttam Niwas Marol Maroshi Road, Mumbai 400059 India",+91 22 2920 8787,,,Chinese,4,7,3,2,1,1,0
Afzal Restaurant,"36/37, Tulsiwadi, Shivdas Chapsi Marg, Opposite Sai Niketan Building, Mazgaon, Mumbai 400010 India",+91 22 2377 6405,,,"Indian, Asian",4,19,6,11,1,0,1
Agent Jack's,"Palm Spring, Malad Link Road, Malad West, Mumbai 400064 India",+91 22 6671 0679,,,"Bar, Pub",4,38,15,12,6,0,4
Ahar Restaurant & Bar,"467 Dr Ambedkar Road King Circle, Maheshwari Udyan, Matunga East, Mumbai 400019 India",+91 22 2409 2706,,,Seafood,4.5,6,4,2,0,0,0
Aharveda,"Viral Apartments Opp Shoppers Stop , Behind Hotel RadhaKrishna, S. V. Road Hotel Golden Chariot Banquet Hall, Mumbai 400058 India",+91 22 4072 2211,,,"Italian, Indian, International, Thai, Healthy",4,6,3,2,0,0,1
AKA Bistro,"123 Nagindas Master Road Kalaghoda, Fort, Mumbai 400001 India",+91 90292 93968,,,Cafe,4,28,9,12,7,0,0
AKA Restaurant,"Dr Annie Besant Road, Near Nehru Centre Ground floor, Lotus Cinema Building,, Mumbai 400018 India",24901993,,,"Italian, European",4,34,11,16,6,1,0
Al Fresco - The American Bistro,"4/277 I B Patel Road Behind H.P. Petrol Pump, Village Pahadi,, Mumbai 400063 India",+91 82911 01153,500,800,"Italian, Mexican, American, Pizza, International",4.5,14,11,1,1,0,0
Alankar Restaurant,"Vithaldas Chambers Samachar Marg Mumbai Samachar Marg, Fort, Mumbai 400020 India",+91 22 2204 3364,,,,4,8,1,7,0,0,0
Alfa Ice Cream,"9D, Readymoney Building, E Ward Municipal Office, Sankil Street, Byculla, Mumbai 400011 India",+91 22 2309 8357,,,,4.5,5,2,3,0,0,0
Alfredo's,"Juhu Tara Road Opposite Juhu Bus Depot, Juhu, Mumbai 400049 India",+91 22 6692 2222,,,"Italian, Bar, Pizza, International, Pub",4,82,22,41,12,2,4
Alfredo's,"Royal Classic, New Link Road, Near Fame Ad Labs, Andheri Lokhandwala, Andheri West Near Infinity Mall, Andheri West, Mumbai, Mumbai 400049 India",+91 22 6561 4468,,,"Italian, Bar, Pizza, International, Pub",3.5,99,27,40,18,6,8
alfredos Malad,"Link Road Malad West Opp Movie times, Mumbai 400064 India",+91 80706 66030,,,"Italian, American, Pizza, Cafe, European",4.5,4,1,3,0,0,0
Alibaba Barbeque & Seafood,"Apollo Bunder Road Dhanraj Mahal, Carnac Bridge, Mumbai 400001 India",+91 22 3098 7888,,,"Indian, Asian, Seafood, Barbecue",4.5,22,11,6,1,1,0
Alka Vihar,"S V Road, Opposite New Era Talkies, Mumbai 400064 India",+91 22 2883 9844,,,Indian,4.5,15,8,7,0,0,0
All Elements,"12th Road Opp Ram Mandir, Mumbai 400052 India",+91 99205 13928,,,"Italian, Mexican, Indian, International, Malaysian, Cafe, Asian",4,22,11,5,6,0,0
All Seasons,"Western Express Highway, Opposite Metro Western Edge Borivali East, Mumbai 400066 India",+91 22 2886 8800,,,Indian,4.5,9,3,6,0,0,0
All Stir Fry,"5, Battery Street, Apollo Bunder, Colaba The Gordon House Hotel, Mumbai 400039 India",+91 22 2289 4451,742,8532,"Chinese, Asian",4,249,84,117,30,9,3
All Stir Fry,"International Airport, Airport Rd Marol, Andheri East The Waterstones Hotel, Mumbai 400059 India",+91 22 4090 6633,700,1000,"Chinese, Asian, Japanese, Thai",4.5,102,55,33,7,3,1
Almond Flower,"461, Off Lokhandwala, Adarsh Nagar, Andheri West Opposite Samarth Aishwarya, Near Allana School, Oshiwara, Andheri West, Mumbai 400053 India",+91 22 3015 1085,,,"Indian, Chinese, Asian",4.5,27,14,9,3,1,0
Alps Restaurant and Beer Bar,"Behind Taj Intercontinental Behind Taj Intercontinental, Mumbai 400001 India",+91 22 3015 1195,,,"Bar, Pub",3.5,69,12,30,17,2,2
Amadeus Lounge,"2 Ncpa N C P A Marg Gate No, Mumbai 400021 India",+91 22 6723 0111,,,"Mediterranean, European, Asian, Thai, Malaysian",4,98,36,41,13,4,2
Amantran Fine Dine,"Jn Road, Mumbai 400080 India",+91 22 2561 7467,,,Indian,4,20,6,11,2,0,1
Amar Fast Food & Restaurant,"Laram Centre, Next To Sunil Jewellers, S V Road, Andheri West Andheri West, Next To Sunil Jewellers, Mumbai 400058 India",+91 22 2624 8854,,,"Indian, Italian, Chinese, Fast food",4,25,8,15,0,1,1
Amar Juice & Restaurant,"Andheri Kurla Road Building Number 1, Mittal Estate, Gala Number 9, Opposite Ten Square Building, Mumbai 400059 India",,,,Fast food,3.5,13,2,5,5,1,0
Amar Juice Centre,"Gulmohar Road Near Amar Chemist, RN Cooper Hospital Compound, Vile Parle West, Mumbai 400056 India",+91 22 2624 7917,,,"Indian, Fast food, Asian",4,255,108,108,28,6,4
Amar Juice Centre,"D 39, NA Purandere Marg, Chowpatty Sea Face, Chowpatty, Mumbai 400004 India",+91 22 2364 2204,,,"Indian, Fast food",3.5,18,3,9,5,0,1
Amba Bhavan,"373, Patel Mahal, Bhandarkar Road, Matunga East Bhandarkar Road, Matunga, Mumbai 400019 India",,,,Indian,4,48,12,28,8,0,0
Ambience,"162/D Jagdamba Building Senapati Bapat Road Near Big Bazaar, Lower Parel, Mumbai 400013 India",+91 22 2494 1465,,,"Chinese, Indian, Bar, Pub",4,16,6,6,3,1,0
Ambience The Restaurant,"9 - 11 Tripati Tower Aihari Tekdi Road Thakur Comlpex, Kandivali East, Mumbai 400101 India",28548233,,,"Chinese, Indian",4,16,2,13,1,0,0
Ambrosia Cafe and Deli,"Wellingdon Business Park Marol, Andheri east, Mumbai 400059 India",+91 22 3015 1683,,,"Indian, Bar, Cafe, Pub",4.5,27,13,10,4,0,0
American Express Bakery,"AEB House, 66 A. Mirza Galib Marg, Byculla, Mumbai 400008 India",+91 22 2308 4441,1855,37092,"French, American, Indian, Cafe, European, Portuguese",4,9,2,6,0,1,0
Americano,"123 Radha Bhavan, Nagindas Master Road, Mumbai 400001 India",+91 22 2264 7700,,,"Italian, Pizza",4,17,8,5,3,0,1
Amey,"Opposite MIG Cricket Club, Bandra East, Mumbai 400051 India",+91 22 3242 6666,,,"Indian, Chinese, Pizza",4,18,4,9,4,1,0
Amrapali,"45 Nagindas Master Road Near Bombay Stock Exchange, Fort, Mumbai 400001 India",+91 22 2269 2497,,,"Chinese, Asian",4,11,2,7,2,0,0
Amritsari Tadka,"7 Evershine 2 Bon Bon Lane Seven Bungalows, Near Bon Bon Shoe Shop, Juhu, Mumbai 400061 India",+91 22 3015 1139,,,"Indian, Chinese, Asian",4,118,42,57,18,0,1
Amrut Sagar Fast Food,"5/49, Adeshir House, Hill Road, Near Ice Factory, Bandra West Near Ice Factory, Mumbai 400067 India",+91 22 2640 7665,,,"Indian, Fast food, Asian",4,24,10,9,5,0,0
Amrutsagar,"5 Adeshir House, 49 Hill Road Almeida Park Marg, Opposite Elco Market, Ranwar, Mumbai 400014 India",26406665,,,Fast food,4,13,3,8,2,0,0
Amul Classic Ice Cream,"10, Boman Behram Building, Opposite Super Bakery, Mazgaon, Byculla, Mumbai 400027 India",+91 74987 50572,,,,4,5,2,2,1,0,0
Amuse Resto Bar,"Link Road Near Vijay Industrial Estate, Near Modi Hyundai Showroom, Chincholi, Malad, Mumbai 400064 India",+91 79707 97797,,,"Chinese, Indian, Bar, Fast food, Pub, Central European, European",4.5,20,9,10,1,0,0
Anand Bhavan,"461/A, Ram Niwas, Maheshwari Udyan, Ambedkar Road, Matunga East Near Maheshwari Udyan, Matunga, Mumbai 400019 India",+91 22 2401 5745,,,Indian,4,106,50,35,14,3,3
Anand Bhuvan,"Ground Floor Kalbadevi Road 350 Shop No 348, Near Jama Masjid Kalbadevi, Opposite Punjab National Bank, Mumbai 400002 India",(+91) 22 2065865,,,Fast food,4.5,11,4,7,0,0,0
And Chillies,"1, Sai Sadan CHS, PB Marg Near Paragon Compound, Worli, Mumbai 400101 India",+91 22 2496 0102,,,"Chinese, Asian, Thai, Korean",5,4,4,0,0,0,0
And Chillies,"1 Sai Sadan Co - Operative Society Shop No Pandurang Budhkar Marg, Mumbai 400013 India",+91 22 3015 1556,,,"Chinese, Asian, Thai",4,26,4,20,2,0,0
And Chillies,"Road Junction Mahim, 8 & 9, Mangireesh Society, Mahim West, Mumbai 400016 India",+91 22 2446 2482,,,"Chinese, Asian, Thai",4,12,3,6,3,0,0
And It Was Called Yellow,"Shop number 5 & 6, Geliki, ONGC Colony Nityanand Road Bandra Reclamation, Mumbai 400050 India",+91 93240 79298,500,800,Indian,5,12,10,1,1,0,0
Andaz cafe,"26, Samartha Vaibhav Near Blanco, Lokhandwala Rd, Andheri West, Mumbai 400053 India",+91 98203 64088,,,,5,4,4,0,0,0,0
Andy's Bar and Kitchen,"Jagdamba Complex, Movie Time Premises, Malad West, Mumbai 400064 India",+91 22 6567 0666,,,"Bar, Pub, Italian, American, Pizza, International",3.5,19,1,12,4,1,1
Angrezi Dhaba,"2nd Floor, Nakshatra Mall, Dadar West, Mumbai 400028 India",+91 93269 74275,,,"Indian, Bar, Fusion",4.5,76,44,28,2,0,2
Angrezi Dhaba,"R R House Todi Ml Compound Ground Floor Senapati Bapat Marg, Mumbai 400013 India",+91 90046 87755,,,Indian,4.5,51,31,15,1,4,0
Angrezi Dhaba,"23/2 1st Floor, RM Building Mahalaxmi Station Bridge, Dr. E Moses Road, Mumbai 400018 India",+91 77000 48886,,,,4.5,13,9,3,0,0,1
Angrezi Patiyalaa,"A-101, Crystal Plaza, Opposite Infinity Mall, KL Walawalkar Marg, Mumbai 400053 India",+91 22 2673 6262,,,Indian,4.5,25,16,7,0,1,1
Ankur - The Coastral Bistro,"77, Meadows House, Tamarind Lane, MP Shetty Marg, Behind Central Bank Of India, Fort, Mumbai 400001 India",+91 22 2265 4194,,,"Indian, Seafood, Asian",4.5,58,22,28,4,1,0
Ann Censored,"Shop No. 3, Ground Floor, C Wing Kamla Mills, Lower Parel, Mumbai, Maharashtra 400013 Shop No. 3, Ground Floor, C Wing Kamala Mills, Lower Parel, Mumbai 400013 India",+91 22 3015 1439,,,Indian,4,16,3,8,4,0,1
Anna Leela,"Shivlal Motilal Mansion, Bellasis Road Central Junction Mumbai Central, Near Maratha Mandir Cinema, Mumbai 400008 India",+91 97021 51515,2226,22255,Chinese,3.5,10,1,6,2,1,0
Anna Punjabi,"Andheri Kurla Road Opp Kanakia Wallstreet 150, Mumbai 400093 India",+91 70390 21111,,,,4.5,8,4,4,0,0,0
Anskhita Veg,"315 Shahid Bhagat Singh Road Opposite Fort Market,, Mumbai 400001 India",22610075,,,Indian,4,10,3,3,4,0,0
Anugraha Pure Veg,"Sarvodaya Bhavan Gokhale Road North Dadar West, Near Gyan Mandir, Mumbai 400028 India",+91 22 2430 3314,,,"Chinese, Indian",4,8,1,4,3,0,0
Apeksha Veg Restaurant,"27 Apeksha Mudanna Shetty Marg, Mumbai 400001 India",+91 22 3015 1180,,,Asian,4,12,2,9,1,0,0
Apoorva,"Vasta House Noble Chambers Sa Brelvi Road, Mumbai 400001 India",+91 22 2287 0335,742,1113,"Indian, Seafood, Asian",4,100,27,47,14,3,6
Apoorva Delicacies,"Ranade Road, Sushrusha Hospital, Dadar Shivaji Park Dadarm, Near Shushurasha Hospital, Mumbai 400028 India",+91 22 3015 1687,,,"Indian, Chinese",4,23,3,16,3,0,0
Apsara Ice Cream,"7, Kakad Estate Building, Dr. RG Thadani Marg, Opposite Poddar Hospital, Worli, Mumbai 400018 India",+91 22 2493 3303,,,,4,6,2,3,1,0,0
Aqaba,"Level Senapati Bapat Marg Senapati Bapat Marg, Mumbai 400013 India",+91 22 6151 2222,,,"Lebanese, Mediterranean, Middle Eastern",4,65,18,30,13,0,1
Aqua- the 24 Hour Coffee Shop,"39 Juhu Beach Hotel Sun N Sand, Mumbai 400049 India",+91 22 6693 8888,,,"Indian, Asian",4,58,26,21,5,2,2
Aquafire Restaurant,"5, Subhash Road Vile Parle East, Mumbai 400057 India",,,,Indian,4.5,59,36,18,4,1,0
Aquarius,"Ground Floor Colaba Causeway Road The Taj Mahal Palace, Mumbai, Mumbai 400001 India",+91 22 6665 3518,,,Seafood,4.5,39,20,11,2,0,0
Aradhana,"1a Fakhruddin Manzil Khar Road Near Railway Station Near Railway Station, Mumbai 400052 India",+91 88221 92837,,,"Indian, Seafood",4,9,2,4,2,1,0
Aram,"Capitol Cinema Building M Cama Road, Opposite Railway Station Opposite Railway Station,, Mumbai 400001 India",+91 22 2207 3947,,,"Indian, Fast food",4.5,19,8,9,1,1,0
Aram Milk Bar,"126 Dr D N Road, Mumbai 400001 India",22073947,,,,4,7,2,3,2,0,0
Arbab,"8th Rd Plot no 117, Shop, no 4, Mumbai 400050 India",+91 22 2641 0000,,,,4.5,45,35,9,0,1,0
Archana Restaurant,"Hotel Archana Residency, Next to R-Mall, L.B.S.Marg, Mulund West, Mumbai 400080 India",+91 22 2164 9922,,,Healthy,4,9,3,5,1,0,0
Ark Bar,"Andheri Kurla Road Courtyard Mumbai International Airport hotel, Mumbai 400059 India",+91 86574 29625,,,,5,473,411,47,8,3,4
Ark Vegetarian Fine Dine,"Swami Vivekanand Road Shop No 3A Milap Cinema, Mumbai 400067 India",,,,,4,12,3,7,2,0,0
Aroma - On The Rocks Restaurant,"8/9, Basant Bahar CHS, Juhu Tara Road, Santacruz West, Mumbai 400054 India",+91 22 2660 7839,,,Chinese,4,10,3,6,1,0,0
Aroma - The Cake Shop,"10 Mahavir Building Ganpatrao Kadam Marg Lower Parel West, Mumbai 400013 India",+91 22 2494 1256,,,,4.5,6,2,4,0,0,0
Aromas Cafe,"Phoenix Market City, LBS Marg, Bandra Kurla Complex, Mumbai 400070 India",+91 22 6180 1681,,,"Italian, Cafe, International",4,38,9,17,9,1,1
Aromas Cafe - Oshiwara,"Link Plaza, 13/14 New Link Road, Oshiwara,Andheri West, Mumbai 400053 India",+91 98331 23702,,,Cafe,4.5,38,19,16,2,0,1
Aromas Cafe & Bistro,"Ground floor, Mamta building, Bandra wesr Near National College, Mumbai 400050 India",+91 91669 40050,,,"Indian, Pizza, Cafe, Healthy",5,6,6,0,0,0,0
Aromas of China,"Ground Floor New Link Road Veera Desai Road, Mumbai 400058 India",67254444,,,"Chinese, Asian",4,53,12,26,11,3,1
Aromas of China,"Oberoi Mall Goregaon East, Mumbai 400063 India",28405581,,,"Chinese, Asian",4,24,5,12,5,1,1
